"Number","Name","Nat","Pos","Height","Weight","Date.of.Birth","Birth.Place","Previous.Club","Team","League","lat","long"
1,"Fernando Pacheco","ESP","G",1.87,81,"18-05-92","Badajoz","Real Madrid","Alavés","Spain",38.8780585,-6.9702048
2,"","","",NA,NA,"","","","Alavés","Spain",NA,NA
3,"Rubén Duarte","ESP","D",1.72,68,"18-10-95","Almería","Espanyol","Alavés","Spain",36.8414197,-2.4628135
4,"Rodrigo Ely","BRA","D",1.88,82,"03-11-93","Lajeado","Milan","Alavés","Spain",-29.4671522,-51.9624046
5,"Víctor Laguardia","ESP","D",1.85,75,"05-11-89","Zaragoza","Zaragoza","Alavés","Spain",41.6521342,-0.8809428
6,"Lisandro Magallán","ARG","D",1.84,77,"27-09-93","La Plata","Ajax","Alavés","Spain",-34.9206797,-57.9537638
7,"Lucas","ESP","F",1.8,82,"10-09-88","La Coruña","West Ham U","Alavés","Spain",43.3712091,-8.3958768
8,"Tomás Pina","ESP","M",1.84,75,"14-10-87","Villarta de San Juan","Club Brugge","Alavés","Spain",39.2383954,-3.4235166
9,"Joselu","ESP","F",1.91,79,"27-03-90","Stuttgart","Newcastle U","Alavés","Spain",48.7784485,9.1800132
10,"Víctor Camarasa","ESP","M",1.83,76,"28-05-94","Meliana","Betis","Alavés","Spain",39.528475,-0.3488606
11,"Luis Rioja","ESP","M",1.73,65,"16-10-93","Seville","Almería","Alavés","Spain",37.3886303,-5.9953403
12,"Rafa Navarro","ESP","D",1.73,61,"23-02-94","Valencina de la Concepción","Betis","Alavés","Spain",37.4175713,-6.0738363
13,"Roberto","ESP","G",1.92,93,"10-02-86","Fuenlabrada","West Ham U","Alavés","Spain",40.282476,-3.7923422
14,"Burgui","ESP","F",1.84,71,"29-10-93","Burguillos del Cerro","Real Madrid B","Alavés","Spain",38.3798701,-6.5907481
15,"Ljubomir Fejsa","SRB","M",1.85,78,"14-08-88","Belgrade","Benfica","Alavés","Spain",44.8178131,20.4568974
16,"Edgar","ESP","M",1.85,80,"30-04-90","Arafo","Cruz Azul","Alavés","Spain",28.3404454,-16.4173287
17,"Adrián Marín","ESP","D",1.81,73,"09-01-97","Torre-Pacheco","Villarreal","Alavés","Spain",37.743133,-0.9539015
18,"Aleix Vidal","ESP","M",1.77,70,"21-08-89","Puigpelat","Sevilla","Alavés","Spain",41.2798081,1.2970011
19,"Manu García","ESP","M",1.82,74,"26-04-86","Vitoria-Gasteiz","Logroñés","Alavés","Spain",42.8465088,-2.6724025
20,"Pere Pons","ESP","M",1.77,70,"20-02-93","Sant Martí Vell","Girona","Alavés","Spain",42.0196093,2.9311901
21,"Martín Aguirregabiria","ESP","D",1.78,69,"10-05-96","Vitoria-Gasteiz","Alavés B","Alavés","Spain",42.8465088,-2.6724025
22,"","","",NA,NA,"","","","Alavés","Spain",NA,NA
23,"Ximo","ESP","D",1.76,75,"23-01-90","Guadahortuna","Las Palmas","Alavés","Spain",37.5565391,-3.4008094
24,"Oliver Burke","SCO","M",1.74,75,"07-04-97","Melton Mowbray","WBA","Alavés","Spain",52.7649964,-0.887587
25,"","","",NA,NA,"","","","Alavés","Spain",NA,NA
26,"","","",NA,NA,"","","","Alavés","Spain",NA,NA
27,"Alberto Rodríguez","ESP","D",1.85,72,"10-09-97","Fuenlabrada","Atlético Madrid B","Alavés","Spain",40.282476,-3.7923422
28,"","","",NA,NA,"","","","Alavés","Spain",NA,NA
29,"Borja Sainz","ESP","M",1.78,75,"01-02-01","Leioa","Alavés B","Alavés","Spain",43.3271048,-2.9846079
